league,division,teamName,teamId,wins,loses,ties,gamesPlayed
WCHL,14U B,WCHL Summit 14U B,254364,2,0,0,21
WCHL IND,non-League,RMHF Lafayette 14U B,299380,4,0,0,4
WCHL IND,non-League,NMICE 10U A,319709,3,0,0,3
WCHL IND,non-League,NM Warriors 14U,322144,1,0,1,2
WCHL IND,non-League,Fraser Valley Eagles 14UB,326950,1,0,0,2
WCHL IND,non-League,RMHF Foothills 12U A,289472,1,0,0,2
WCHL IND,non-League,DENVER TEAM,274506,0,0,0,0
WCHL IND,non-League,WCHL Vail Mountaineers 12U A,254375,0,0,0,0
WCHL IND,non-League,RMHF Littleton Hawks 10U A White,254383,0,0,0,0
WCHL IND,non-League,LAHA 10U Gold,337593,0,0,0,0
WCHL IND,non-League,RMHF BHC 12U A,284299,0,0,0,0
WCHL IND,non-League,LAHA 10U Green,337592,0,0,0,0
WCHL IND,non-League,LAHA 12U,337591,0,0,0,0
WCHL IND,non-League,Santa Fe 10U,346130,0,0,0,2
WCHL IND,non-League,LAHA 10U Travel,338687,0,0,0,3
WCHL IND,non-League,Flagstaff 14U,324035,0,0,0,3
WCHL IND,non-League,RMHF Lafayette 12U A,309568,0,0,0,2
WCHL IND,non-League,Santa Fe 14U,346132,0,0,0,2
WCHL IND,non-League,Santa Fe 12U,346131,0,0,0,2
Winter CB Town League 2024,A/B League,Lacy Construction,198148,9,0,2,14
Winter CB Town League 2024,A/B League,Rocky Mountain Trees,198145,9,0,2,15
Winter CB Town League 2024,A/B League,Bliss Chiropractic,198150,8,0,1,15
Winter CB Town League 2024,A/B League,Eldo,198147,5,0,2,12
Winter CB Town League 2024,A/B League,Alpine Lumber,198146,2,0,3,13
Winter CB Town League 2024,A/B League,Kochevars,198149,3,0,0,13
Winter CB Town League 2024,C/B League,Talk of the Town,198154,10,0,2,13
Winter CB Town League 2024,C/B League,Altitude Painting,198153,7,0,0,12
Winter CB Town League 2024,C/B League,CB ELECTRIC,198258,4,0,2,12
Winter CB Town League 2024,C/B League,SKA,198152,2,0,2,10
Winter CB Town League 2024,C/B League,REG,198151,3,0,0,11
Playoff Season,10UA Blue,WCHL Summit 10U A,120967,5,0,0,6
Playoff Season,10UA Blue,WCHL Vail 10U A White,120970,3,0,0,5
Playoff Season,10UA Blue,WCHL Telluride 10U A,120968,3,0,0,5
Playoff Season,10UA Blue,WCHL West Elk 10U A,120971,2,0,0,4
Playoff Season,10UA Blue,WCHL Steamboat 10U A,120966,1,0,0,3
Playoff Season,10UA Blue,WCHL Grand Junction 10U A,120965,1,0,0,3
Playoff Season,10UA Blue,WCHL Aspen 10U A,120964,0,0,0,2
Playoff Season,10UA Blue,WCHL Vail 10U A Blue,120969,0,0,0,2
Playoff Season,10UB White,WCHL Aspen 10U B,120972,4,0,0,4
Playoff Season,10UB White,WCHL Vail 10U B Blue,120978,4,0,0,6
Playoff Season,10UB White,WCHL Vail 10U B White,120979,2,0,0,4
Playoff Season,10UB White,WCHL Steamboat 10U B,120975,2,0,0,4
Playoff Season,10UB White,WCHL Summit 10U B,120976,2,0,0,4
Playoff Season,10UB White,WCHL West Elk 10U B,120980,1,0,0,3
Playoff Season,10UB White,WCHL Grand Junction 10U B,120974,1,0,0,3
Playoff Season,10UB White,WCHL Glenwood 10U B,120973,0,0,0,2
Playoff Season,10UB White,WCHL Telluride 10U B,120977,0,0,0,2
Playoff Season,12 U A,WCHL Aspen/Glenwood 12U A,118806,4,0,0,4
Playoff Season,12 U A,WCHL Vail 12U A,118811,4,0,0,6
Playoff Season,12 U A,WCHL Steamboat 12U A,118808,2,0,0,4
Playoff Season,12 U A,WCHL Summit 12U A,118809,1,0,0,3
Playoff Season,12 U A,WCHL Grand Junction 12U A,118807,1,0,0,3
Playoff Season,12 U A,WCHL West Elk 12U A,118812,0,0,0,2
Playoff Season,12 U A,WCHL Telluride 12U A,118810,0,0,0,2
Playoff Season,12 U B,WCHL Vail 12U B White,118820,4,0,0,4
Playoff Season,12 U B,WCHL Vail 12U B Blue,118819,3,0,0,5
Playoff Season,12 U B,WCHL Aspen 12U B,118813,3,0,0,5
Playoff Season,12 U B,WCHL Summit 12U B,118817,2,0,0,4
Playoff Season,12 U B,WCHL Glenwood 12U B,118814,2,0,0,4
Playoff Season,12 U B,WCHL Steamboat 12U B,118816,1,0,0,3
Playoff Season,12 U B,WCHL Grand Junction 12U B,118815,1,0,0,3
Playoff Season,12 U B,WCHL West Elk 12U B,118821,0,0,0,2
Playoff Season,12 U B,WCHL Telluride 12U B,118818,0,0,0,2
Playoff Season,14U A,WCHL Vail 14U A,118828,4,0,0,4
Playoff Season,14U A,WCHL Summit 14U A,118826,4,0,0,6
Playoff Season,14U A,WCHL Glenwood 14U A,118823,2,0,0,4
Playoff Season,14U A,WCHL Aspen 14U A,118822,2,0,0,4
Playoff Season,14U A,WCHL Steamboat 14U A,118825,1,0,0,3
Playoff Season,14U A,WCHL Telluride 14U A,118827,1,0,0,3
Playoff Season,14U A,WCHL West Elk 14U A,118829,0,0,0,2
Playoff Season,14U A,WCHL Grand Junction 14U A,118824,0,0,0,2
Playoff Season,14UB,WCHL Vail 14U B White,121286,4,0,0,5
Playoff Season,14UB,WCHL Aspen 14U B,121281,3,0,0,5
Playoff Season,14UB,WCHL Telluride 14U B,121284,2,0,0,4
Playoff Season,14UB,WCHL Vail 14U B Blue,121285,2,0,0,4
Playoff Season,14UB,WCHL Summit 14U B,121283,0,0,0,2
Playoff Season,14UB,WCHL Grand Junction 14U B,121282,0,0,0,2
